provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
490059,Bon Secours St. Mary's Hospital,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490060,Clinch Valley Medical Center,Richlands,VA,49047,Richlands,VA,376,Kingsport,TN
490063,Inova Fairfax Hospital,Falls Church,VA,49014,Falls Church,VA,426,Arlington,VA
490066,Sentara Williamsburg Regional Med Ctr,Williamsburg,VA,49062,Williamsburg,VA,429,Newport News,VA
490067,Southside Regional Med Ctr,Petersburg,VA,49042,Petersburg,VA,431,Richmond,VA
490069,Memorial Regional Medical Center,Mechanicsville,VA,49048,Richmond,VA,431,Richmond,VA
490071,Retreat Hospital,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490075,Danville Regional Medical Center,Danville,VA,49011,Danville,VA,312,Durham,NC
490077,Martha Jefferson Hospital,Charlottesville,VA,49007,Charlottesville,VA,427,Charlottesville,VA
490079,Memorial Hospital,Martinsville,VA,49035,Martinsville,VA,312,Durham,NC
490084,Riverside Tappahannock Hospital,Tappahannock,VA,49057,Tappahannock,VA,431,Richmond,VA
490088,Bedford Memorial Hospital,Bedford,VA,49004,Bedford,VA,428,Lynchburg,VA
490089,Carilion Franklin Memorial Hosp,Rocky Mount,VA,49050,Rocky Mount,VA,432,Roanoke,VA
490090,Southside Community Hospital,Farmville,VA,49015,Farmville,VA,431,Richmond,VA
490092,Southampton Memorial Hospital,Franklin,VA,49016,Franklin,VA,430,Norfolk,VA
490093,Sentara CarePlex Hospital,Hampton,VA,49037,Newport News,VA,429,Newport News,VA
490094,Bon Secours Richmond Comm Hosp,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490097,Southern Virginia Reg Med Ctr,Emporia,VA,49012,Emporia,VA,431,Richmond,VA
490098,Community Memorial Healthcenter,South Hill,VA,49053,South Hill,VA,431,Richmond,VA
490101,Inova Fair Oaks Hospital,Fairfax,VA,49013,Fairfax,VA,426,Arlington,VA
490107,Reston Hospital Center,Reston,VA,49046,Reston,VA,426,Arlington,VA
490109,Eastern State Hospital,Williamsburg,VA,49062,Williamsburg,VA,429,Newport News,VA
490110,Montgomery Regional Hospital,Blacksburg,VA,49006,Blacksburg,VA,432,Roanoke,VA
490111,Wythe County Community Hospital,Wytheville,VA,49067,Wytheville,VA,432,Roanoke,VA
490112,CJW Medical Center,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490113,Potomac Hospital,Woodbridge,VA,49065,Woodbridge,VA,426,Arlington,VA
490114,Wellmont Lonesome Pine Hospital,Big Stone Gap,VA,49005,Big Stone Gap,VA,376,Kingsport,TN
490115,Twin County Regional Hospital,Galax,VA,49019,Galax,VA,320,Winston-Salem,NC
490116,Pulaski Community Hospital,Pulaski,VA,49044,Pulaski,VA,432,Roanoke,VA
490117,Tazewell Community Hospital,Tazewell,VA,49058,Tazewell,VA,432,Roanoke,VA
490118,Henrico Doctors' Hospital,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490119,Sentara Bayside Hospital,Virginia Beach,VA,49059,Virginia Beach,VA,430,Norfolk,VA
490120,Chesapeake General Hospital,Chesapeake,VA,49008,Chesapeake,VA,430,Norfolk,VA
490122,Inova Mount Vernon Hospital,Alexandria,VA,49002,Alexandria,VA,426,Arlington,VA
490123,Rappahannock General Hospital,Kilmarnock,VA,49026,Kilmarnock,VA,431,Richmond,VA
490126,Alleghany Regional Hospital,Low Moor,VA,49030,Low Moor,VA,432,Roanoke,VA
490127,Buchanan General Hospital,Grundy,VA,49021,Grundy,VA,376,Kingsport,TN
490130,Riverside Walter Reed Hospital,Gloucester,VA,49020,Gloucester,VA,429,Newport News,VA
490136,Bon Secours St Francis Med Ctr,Midlothian,VA,49048,Richmond,VA,431,Richmond,VA
491300,Bath Community Hospital,Hot Springs,VA,49025,Hot Springs,VA,427,Charlottesville,VA
491302,Carilion Giles Memorial Hospital,Pearisburg,VA,49040,Pearisburg,VA,432,Roanoke,VA
491303,Dickenson Community Hospital,Clintwood,VA,49009,Clintwood,VA,376,Kingsport,TN
491304,Carilion Stonewall Jackson Hsp,Lexington,VA,49029,Lexington,VA,432,Roanoke,VA
491305,Shenandoah Memorial Hospital,Woodstock,VA,49066,Woodstock,VA,435,Winchester,VA
491306,RJ Reynolds Patrick Cty Mem Hosp,Stuart,VA,49055,Stuart,VA,320,Winston-Salem,NC
491307,Page Memorial Hospital,Luray,VA,49031,Luray,VA,435,Winchester,VA
